# TABLE NO.     2: NUTS Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
ITERATION,THETA1,THETA2,THETA3,THETA4,"SIGMA(1,1)","OMEGA(1,1)","OMEGA(2,1)","OMEGA(2,2)","OMEGA(3,1)","OMEGA(3,2)","OMEGA(3,3)","OMEGA(4,1)","OMEGA(4,2)","OMEGA(4,3)","OMEGA(4,4)",MCMCOBJ
-267,1.64383E+00,1.58776E+00,7.31092E-01,2.40351E+00,5.97769E-02,6.15603E-02,6.58374E-02,1.40761E-01,-2.91516E-02,-1.26188E-02,9.58940E-02,8.57516E-02,7.35841E-02,-1.07630E-01,2.55433E-01,-2660.9699528245869
-266,1.63920E+00,1.60461E+00,7.12991E-01,2.44445E+00,6.31643E-02,5.56560E-02,3.95682E-02,8.83774E-02,-3.88352E-02,-1.24380E-02,1.09515E-01,7.92847E-02,3.84745E-02,-1.31655E-01,2.71394E-01,-2703.4819871931181
-265,1.57446E+00,1.53452E+00,7.31655E-01,2.34806E+00,5.54289E-02,4.57791E-02,4.17786E-02,8.38149E-02,-4.75382E-02,-4.41298E-02,1.24339E-01,6.84772E-02,5.77230E-02,-1.20282E-01,2.60355E-01,-2719.1451422817408
-264,1.59081E+00,1.52553E+00,7.42683E-01,2.31650E+00,5.24747E-02,4.60167E-02,4.24019E-02,8.58353E-02,-4.83731E-02,-4.64700E-02,1.24693E-01,6.81878E-02,5.79755E-02,-1.19897E-01,2.60746E-01,-2719.1347050105292
-263,1.62445E+00,1.57714E+00,8.05138E-01,2.36289E+00,5.64133E-02,3.99753E-02,1.74105E-02,5.69061E-02,-3.53825E-02,-1.02625E-02,1.23692E-01,6.76259E-02,1.84573E-02,-1.04895E-01,2.67483E-01,-2700.8839133417086
-262,1.63275E+00,1.65042E+00,6.87144E-01,2.42758E+00,5.92709E-02,4.21793E-02,3.59310E-02,6.78898E-02,-3.17739E-02,-2.81882E-02,1.20235E-01,7.56322E-02,4.73822E-02,-9.60105E-02,3.00449E-01,-2706.5153020616635
-261,1.61073E+00,1.57884E+00,7.67040E-01,2.33377E+00,4.93320E-02,4.64432E-02,4.48651E-02,9.78755E-02,-2.32019E-02,5.76721E-03,1.23600E-01,7.30419E-02,8.94783E-02,-9.69074E-02,2.60431E-01,-2728.5915285015776
-260,1.59597E+00,1.46286E+00,6.73548E-01,2.31335E+00,5.32721E-02,5.37533E-02,5.09107E-02,9.67390E-02,-1.66611E-02,-1.15560E-03,1.34666E-01,9.00707E-02,8.28528E-02,-9.88586E-02,2.68573E-01,-2692.8772651409568
-259,1.63316E+00,1.55223E+00,7.15757E-01,2.40615E+00,5.72969E-02,4.56025E-02,4.74677E-02,9.41785E-02,-1.81257E-02,3.65724E-03,1.35704E-01,7.68612E-02,7.69171E-02,-1.04370E-01,2.49453E-01,-2701.6028793816749
-258,1.59344E+00,1.55431E+00,7.36553E-01,2.31396E+00,6.16568E-02,6.29296E-02,4.66146E-02,9.05008E-02,-1.60329E-02,2.78787E-03,1.33013E-01,8.44486E-02,6.19600E-02,-6.93779E-02,2.57543E-01,-2663.8414270990243
-257,1.61833E+00,1.57819E+00,6.91422E-01,2.34046E+00,5.57403E-02,5.54325E-02,3.96420E-02,6.52088E-02,-3.17339E-02,-6.75391E-03,1.14525E-01,1.03144E-01,8.61731E-02,-1.21990E-01,3.36942E-01,-2669.5900295606416
-256,1.60517E+00,1.57011E+00,6.70522E-01,2.35354E+00,5.66625E-02,6.31084E-02,4.80132E-02,9.58138E-02,-4.27164E-02,-1.43045E-02,1.39415E-01,1.13207E-01,9.54385E-02,-1.56941E-01,3.67325E-01,-2688.5038368904552
-255,1.63370E+00,1.62707E+00,7.29090E-01,2.31175E+00,5.28455E-02,5.43458E-02,4.71215E-02,7.95341E-02,-2.47296E-02,-2.43883E-03,1.03847E-01,7.24082E-02,4.95148E-02,-7.01636E-02,2.22401E-01,-2711.5475737294096
-254,1.62304E+00,1.60997E+00,7.20465E-01,2.36222E+00,4.81231E-02,5.86274E-02,4.73168E-02,8.11500E-02,-3.09637E-02,-2.77282E-02,1.10432E-01,1.02815E-01,9.57296E-02,-1.28716E-01,3.73088E-01,-2737.0719420586775
-253,1.63201E+00,1.56131E+00,6.90825E-01,2.36353E+00,6.49230E-02,4.99110E-02,4.78535E-02,9.15214E-02,-2.66389E-02,3.42692E-03,1.32424E-01,7.25479E-02,5.30344E-02,-1.16468E-01,2.47549E-01,-2681.6427217985702
-252,1.63642E+00,1.60475E+00,7.44145E-01,2.32863E+00,5.80708E-02,6.12213E-02,5.10505E-02,1.00103E-01,-3.58301E-02,-1.19148E-02,1.21341E-01,7.17304E-02,6.22546E-02,-7.17663E-02,1.78249E-01,-2660.1360511996231
-251,1.61421E+00,1.55525E+00,7.77892E-01,2.33737E+00,6.48964E-02,5.59258E-02,4.67549E-02,9.20176E-02,-3.20466E-02,-1.48549E-02,1.14943E-01,7.33950E-02,6.08658E-02,-7.30121E-02,1.96870E-01,-2665.2331659249735
-250,1.61152E+00,1.52732E+00,6.75779E-01,2.38673E+00,4.69210E-02,5.34260E-02,4.41346E-02,9.39328E-02,-3.64330E-02,-1.08255E-02,1.54725E-01,8.61778E-02,7.61009E-02,-1.10082E-01,2.82361E-01,-2676.6338228566156
-249,1.68660E+00,1.62955E+00,7.60636E-01,2.50519E+00,5.09671E-02,4.98560E-02,4.45629E-02,9.03157E-02,-2.47939E-02,-1.46399E-02,1.33282E-01,6.79737E-02,5.82436E-02,-8.08013E-02,2.70859E-01,-2626.6386148857264
-248,1.66437E+00,1.59861E+00,6.95299E-01,2.44128E+00,5.65045E-02,5.31510E-02,4.24362E-02,8.16075E-02,-1.69984E-02,-1.91825E-02,1.15038E-01,8.59742E-02,7.68223E-02,-7.83341E-02,2.80659E-01,-2651.7464454015294
