TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9955  3.27512E+00  3.32376E+00 -5.98377E-01 -2.27893E-01  7.43604E-01  1.17632E+00  3.34496E-01  1.77116E-01  7.09353E-01  2.30233E+00  1.04762E-01  1.00000E+00  1.05860E-02 -7.58063E-04  9.94851E-03  7.57792E-05 -2.10835E-03  6.33089E-03 -8.25196E-04 -4.58783E-04 -2.19108E-03  5.61026E-03   -19467.224081241064
        -9954  3.30997E+00  3.22728E+00 -6.12146E-01 -1.99823E-01  7.86815E-01  1.17642E+00  3.22558E-01  1.76791E-01  7.00538E-01  2.30596E+00  1.06063E-01  1.00000E+00  9.50822E-03 -1.61802E-04  8.77898E-03  1.11087E-03 -2.16377E-03  6.32319E-03 -1.76622E-03 -8.85103E-04 -2.79957E-03  7.14016E-03   -19354.662200275736
        -9953  3.25535E+00  3.22829E+00 -6.01011E-01 -2.02742E-01  7.69048E-01  1.16655E+00  3.30548E-01  1.82196E-01  6.98308E-01  2.30551E+00  1.06941E-01  1.00000E+00  8.82504E-03  6.47292E-04  9.75748E-03  8.29454E-04 -3.43083E-03  6.30529E-03 -2.01674E-03 -1.32079E-03 -2.07331E-03  6.22412E-03   -19517.786601030562
        -9952  3.27550E+00  3.27585E+00 -6.04538E-01 -2.14317E-01  6.96956E-01  1.14953E+00  3.47510E-01  1.81704E-01  7.08326E-01  2.30131E+00  1.07705E-01  1.00000E+00  8.92190E-03  1.43452E-03  9.08687E-03  5.24716E-05 -2.51242E-03  5.32937E-03 -1.80267E-03 -1.15409E-03 -2.08422E-03  6.46731E-03   -19483.201312883575
        -9951  3.25772E+00  3.29370E+00 -5.98372E-01 -2.17552E-01  7.64736E-01  1.11933E+00  3.31213E-01  1.96070E-01  6.99527E-01  2.30346E+00  1.04956E-01  1.00000E+00  9.43814E-03  5.99614E-04  8.46520E-03  3.69529E-05 -1.97061E-03  5.36550E-03 -1.89625E-03 -8.44069E-04 -2.64873E-03  7.29221E-03   -19500.965194260625
        -9950  3.31008E+00  3.22730E+00 -6.12728E-01 -1.98625E-01  7.46767E-01  1.10010E+00  3.36866E-01  1.98322E-01  7.05744E-01  2.29952E+00  1.02712E-01  1.00000E+00  1.02785E-02  2.66948E-04  8.84206E-03 -1.61821E-04 -2.04180E-03  5.09501E-03 -2.39499E-03 -1.48374E-03 -2.26421E-03  7.44816E-03   -19623.532701672211
        -9949  3.27390E+00  3.21141E+00 -6.01924E-01 -1.96700E-01  7.17082E-01  1.09036E+00  3.43330E-01  2.03838E-01  7.05096E-01  2.30138E+00  1.02623E-01  1.00000E+00  8.81151E-03 -4.81202E-04  7.80653E-03 -6.01757E-05 -2.24428E-03  4.63206E-03 -1.74391E-03 -9.79972E-04 -1.52488E-03  6.52354E-03   -19657.777171016893
        -9948  3.29684E+00  3.27127E+00 -6.11112E-01 -2.15543E-01  7.31782E-01  1.03220E+00  3.37281E-01  2.21966E-01  6.99989E-01  2.31692E+00  1.04213E-01  1.00000E+00  9.76059E-03 -3.39810E-04  7.76247E-03  4.53286E-04 -1.77182E-03  4.96024E-03 -3.58354E-03 -1.37010E-03 -1.75235E-03  7.88389E-03   -19408.690924400540
        -9947  3.24171E+00  3.21717E+00 -5.94278E-01 -1.98612E-01  6.77689E-01  1.10029E+00  3.53033E-01  2.00923E-01  6.96206E-01  2.30329E+00  1.06302E-01  1.00000E+00  9.01974E-03 -1.14525E-04  7.39744E-03 -8.57873E-04 -1.60846E-03  4.95942E-03 -1.68146E-03 -1.94587E-03 -7.43216E-04  7.08929E-03   -19550.223774888520
        -9946  3.26046E+00  3.26603E+00 -6.01764E-01 -2.11599E-01  7.35904E-01  1.13037E+00  3.37363E-01  1.90898E-01  6.99874E-01  2.29214E+00  1.06733E-01  1.00000E+00  1.01375E-02  2.10508E-04  6.05578E-03 -8.61120E-04 -1.06171E-03  5.11130E-03 -2.04548E-03 -1.99193E-03 -1.79530E-03  7.63376E-03   -19473.445729587806
        -9945  3.29883E+00  3.30005E+00 -6.12888E-01 -2.23530E-01  7.71771E-01  1.15607E+00  3.22825E-01  1.80222E-01  7.02068E-01  2.29881E+00  1.06902E-01  1.00000E+00  1.10287E-02  9.28720E-04  5.56587E-03 -1.08262E-03 -1.45790E-03  4.63451E-03 -1.52551E-03 -1.02197E-03 -1.64338E-03  6.75787E-03   -19525.822690454017
        -9944  3.33086E+00  3.27819E+00 -6.22385E-01 -2.12656E-01  7.54536E-01  1.16229E+00  3.28825E-01  1.81139E-01  6.93096E-01  2.29739E+00  1.06902E-01  1.00000E+00  9.92933E-03  7.16772E-04  6.54366E-03 -5.54590E-04 -1.84760E-03  4.94864E-03 -1.29767E-03 -8.15606E-04 -1.14657E-03  7.75690E-03   -19431.306754642381
        -9943  3.29987E+00  3.24995E+00 -6.12589E-01 -2.08346E-01  7.20088E-01  1.13648E+00  3.40618E-01  1.90226E-01  6.90745E-01  2.30336E+00  1.07020E-01  1.00000E+00  1.11820E-02  1.75904E-04  7.15587E-03 -4.21334E-04 -1.75985E-03  4.87049E-03 -1.21505E-03 -3.33588E-04 -1.48736E-03  7.56885E-03   -19519.107815347052
        -9942  3.30163E+00  3.29788E+00 -6.12382E-01 -2.25291E-01  7.40102E-01  1.16661E+00  3.32539E-01  1.81557E-01  6.91342E-01  2.30403E+00  1.04813E-01  1.00000E+00  1.03722E-02  4.44485E-04  7.05264E-03 -7.60866E-05 -1.81134E-03  4.50363E-03 -1.80573E-03 -4.87352E-04 -1.43617E-03  6.75976E-03   -19622.684733641734
        -9941  3.27472E+00  3.25374E+00 -6.03190E-01 -2.10103E-01  7.16718E-01  1.11687E+00  3.39071E-01  1.95451E-01  6.91235E-01  2.29865E+00  1.02907E-01  1.00000E+00  1.18101E-02  8.94342E-04  7.34190E-03 -4.76943E-04 -1.13707E-03  4.39664E-03 -1.74971E-03 -1.36816E-04 -1.75593E-03  6.68511E-03   -19475.453781845699
        -9940  3.25364E+00  3.18287E+00 -5.97668E-01 -1.89108E-01  7.45236E-01  1.06734E+00  3.30799E-01  2.09278E-01  6.83770E-01  2.29705E+00  1.00277E-01  1.00000E+00  9.89025E-03  1.26145E-04  7.20540E-03 -9.69906E-04 -1.25336E-03  4.55901E-03 -1.33826E-03  6.73444E-05 -2.18883E-03  7.13816E-03   -19690.336125835958
        -9939  3.29635E+00  3.23922E+00 -6.09493E-01 -2.03783E-01  7.41841E-01  1.09823E+00  3.31490E-01  2.03825E-01  6.86454E-01  2.29425E+00  1.00638E-01  1.00000E+00  9.11450E-03 -3.46663E-05  7.19012E-03 -9.75175E-04 -1.17655E-03  4.55541E-03 -1.11343E-03  1.21120E-04 -1.94683E-03  6.03893E-03   -19640.256490069030
