TABLE NO.  1
 ID                      TIME                    Y1                      Y2                      A1                      A2                      A3                      EVID                    CMT
  0.0000000000000000E+00  1.0000000000000000E+01  9.9767884171162766E+00  2.5682501257928747E-01  2.3182691978053307E+00  9.7199634045369887E+00  2.5682501257928747E-01  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  1.1000000000000000E+01  1.0386484020283747E+01  4.8839850064388479E-01  2.2293968087024942E+00  9.8980855196398618E+00  4.8839850064388479E-01  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  1.2000000000000000E+01  1.0765414344677074E+01  1.3353711295971693E+00  2.1600938979574122E+00  9.4300432150799054E+00  1.3353711295971693E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  1.3000000000000000E+01  1.1101056732559584E+01  2.4542239930909169E+00  2.1051863450944865E+00  8.6468327394686675E+00  2.4542239930909169E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  1.4000000000000000E+01  1.1394320885849512E+01  3.4412185054612885E+00  2.0611553546932395E+00  7.9531023803882235E+00  3.4412185054612885E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  1.5000000000000000E+01  1.1653349639717842E+01  4.1906531083968472E+00  2.0255118723469248E+00  7.4626965313209945E+00  4.1906531083968472E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  1.6000000000000000E+01  1.1886294323795099E+01  4.7514871833509380E+00  1.9964412035354409E+00  7.1348071404441615E+00  4.7514871833509380E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  1.7000000000000000E+01  1.2099015650620672E+01  5.1900823807522993E+00  1.9725879438878675E+00  6.9089332698683714E+00  5.1900823807522993E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  1.8000000000000000E+01  1.2295427889188492E+01  5.5502816363095615E+00  1.9529197166522683E+00  6.7451462528789312E+00  5.5502816363095615E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  1.9000000000000000E+01  1.2478237055178308E+01  5.8569128117258895E+00  1.9366372295874243E+00  6.6213242434524178E+00  5.8569128117258895E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  2.0000000000000000E+01  1.2649427838464870E+01  6.1243836233809059E+00  1.9231132050971169E+00  6.5250442150839651E+00  6.1243836233809059E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  2.1000000000000000E+01  1.2810526261873743E+01  6.3617710038784256E+00  1.9118497257402793E+00  6.4487552579953178E+00  6.3617710038784256E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  2.2000000000000000E+01  1.2962743581522988E+01  6.5752463675013484E+00  1.9024477512601907E+00  6.3874972140216393E+00  6.5752463675013484E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  2.3000000000000000E+01  1.3107062362766149E+01  6.7692412890227081E+00  1.8945848872888551E+00  6.3378210737434406E+00  6.7692412890227081E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  2.4000000000000000E+01  1.3244292547432355E+01  6.9470616991413721E+00  1.8879988781319106E+00  6.2972308482909831E+00  6.9470616991413721E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  2.5000000000000000E+01  1.3375110297553933E+01  7.1112434842069794E+00  1.8824751527452768E+00  6.2638668133469535E+00  7.1112434842069794E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  0.0000000000000000E+00  2.8300000000000001E+00  0.0000000000000000E+00  1.0000000000000000E+00  2.8300000000000001E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  1.0000000000000000E+00  3.4332378911111117E+00  1.1812541562076029E-03  5.1498388834112889E+00  3.4320566369549041E+00  1.1812541562076029E-03  1.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  1.0000000000000000E+00  3.4332378911111117E+00  1.1812541562076029E-03  5.1498388834112889E+00  3.4320566369549041E+00  1.1812541562076029E-03  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  2.0000000000000000E+00  4.3370085532387330E+00  3.0927559031283603E-03  4.7076502300393051E+00  4.3339157973356048E+00  3.0927559031283603E-03  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  3.0000000000000000E+00  5.1434037263013543E+00  6.2093330105396360E-03  3.9775617058416346E+00  5.1371943932908151E+00  6.2093330105396360E-03  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  4.0000000000000000E+00  5.8121571063206572E+00  1.1313810533399568E-02  3.2879675720510306E+00  5.8008432957872573E+00  1.1313810533399568E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  5.0000000000000000E+00  6.3723773650272273E+00  1.9696816199979515E-02  2.8059392299647072E+00  6.3526805488272480E+00  1.9696816199979515E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  6.0000000000000000E+00  6.8588867711923136E+00  3.3486204866095173E-02  2.4832562607539947E+00  6.8254005663262181E+00  3.3486204866095173E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  7.0000000000000000E+00  7.2951447788159518E+00  5.6190183385015441E-02  2.2608724790509678E+00  7.2389545954309362E+00  5.6190183385015441E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  8.0000000000000000E+00  7.6957349712115350E+00  9.3592778404610916E-02  2.1032081569141843E+00  7.6021421928069239E+00  9.3592778404610916E-02  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  8.0000000000000000E+00  7.6957349712115350E+00  9.3592778404610916E-02  2.1032081569141843E+00  7.6021421928069239E+00  9.3592778404610916E-02  1.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  9.0000000000000000E+00  8.0502318608516248E+00  1.5523020411570176E-01  1.9213985872165877E+00  7.8950016567359231E+00  1.5523020411570176E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  1.0000000000000000E+01  8.3989518327966071E+00  2.5682500161431610E-01  1.9112686987663778E+00  8.1421268311822903E+00  2.5682500161431610E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  1.1000000000000000E+01  8.7396702674411557E+00  4.8839870346586822E-01  1.8855921535990181E+00  8.2512715639752869E+00  4.8839870346586822E-01  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  1.2000000000000000E+01  9.0589909325305946E+00  1.2866228102926354E+00  1.8533762898883210E+00  7.7723681222379586E+00  1.2866228102926354E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  1.3000000000000000E+01  9.3455794489437949E+00  2.1087155057235925E+00  1.8163419214027730E+00  7.2368639432202029E+00  2.1087155057235925E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  1.4000000000000000E+01  9.6017382900231212E+00  2.7831016276708462E+00  1.7771399463577544E+00  6.8186366623522758E+00  2.7831016276708462E+00  0.0000000000000000E+00  4.0000000000000000E+00
  1.0000000000000000E+00  1.5000000000000000E+01  9.8321868457816688E+00  3.3093312019397856E+00  1.7391686419436532E+00  6.5228556438418828E+00  3.3093312019397856E+00  0.0000000000000000E+00  4.0000000000000000E+00
